id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
429hKgsnnsIVn9ohgjj0II,Medicine,James Arthur,57,2021-11-05,0.496,0.732,10,-4.529,1,0.236,0.0,0.0905,0.325,143.981,208982,4
5nujrmhLynf4yMoMtj8AQF,Levitating (feat. DaBaby),DaBaby,84,2020-03-27,0.702,0.825,6,-3.787,0,0.00883,0.0,0.0674,0.915,102.977,203064,4
0ClPIeT6MSgfSgQ9ZrJbAq,Cheating on You,Charlie Puth,75,2019-10-01,0.749,0.535,4,-6.785,1,0.0131,3.65e-05,0.0982,0.601,123.042,196607,4
62tHYGbBOvOkpgmEXDlgu8,Who's In Your Head,Jonas Brothers,62,2021-10-29,0.704,0.778,5,-5.331,1,0.00447,0.0,0.0731,0.821,101.025,183537,4
6ZuahEctZD6w75peme58hm,Wonder,Shawn Mendes,71,2020-12-04,0.442,0.631,1,-5.096,0,0.136,2.29e-05,0.133,0.129,139.774,172693,4
1mWdTewIgB3gtBM3TOSFhB,Butter,BTS,85,2021-06-04,0.759,0.459,8,-5.187,1,0.00323,0.0,0.0906,0.695,109.997,164442,4
5LZtB6nxvjIhUoElp3Zqk0,Teach Me How To Love,Shawn Mendes,67,2020-12-04,0.592,0.885,9,-4.944,0,0.0505,2.38e-06,0.0843,0.731,98.991,202357,4
3RjL8AnKslWWPmlNLTJsAU,Beautiful,Anne-Marie,59,2021-07-23,0.493,0.597,2,-6.944,1,0.337,0.0,0.0711,0.66,90.096,194680,4
0DHh3p0g7qmNNfNdRNwL6N,Try Again (feat. Lauv),Lauv,58,2021-07-30,0.74,0.754,0,-7.262,0,0.41,0.000102,0.137,0.198,124.003,189077,4
3kk4oPmTbAstqb2j1BFeKm,Loving You Girl (feat. Hkeem),Hkeem,46,2022-04-29,0.556,0.441,7,-9.088,0,0.516,6.85e-05,0.189,0.487,91.442,171800,4
3Uo7WG0vmLQ07WB4BDwy7D,willow,Taylor Swift,68,2020-12-10,0.392,0.579,7,-9.195,1,0.835,0.00179,0.145,0.549,80.961,214707,4
3XYRV7ZSHqIRDG87DKTtry,Permission to Dance,BTS,82,2021-07-23,0.702,0.741,9,-5.33,1,0.00544,0.0,0.337,0.646,124.925,187585,4
24OeEKPQ8qqNZnPevRHxUT,Red Eye (feat. TroyBoi),TroyBoi,70,2021-10-08,0.815,0.816,5,-4.393,0,0.0501,0.000887,0.0761,0.774,96.033,187453,4
7cGbXyQknlw334XA0NdH80,Daydream,Johnny Orlando,54,2021-08-11,0.686,0.806,6,-5.03,0,0.00892,4.4e-05,0.103,0.671,130.063,175508,4
02MWAaffLxlfxAUY7c5dvx,Heat Waves,Glass Animals,89,2020-08-06,0.761,0.525,11,-6.9,1,0.44,6.7e-06,0.0921,0.531,80.87,238805,4
